CVCL	label
cellosaurus:CVCL_1183	DU4475
cellosaurus:CVCL_1183	DU4475
cellosaurus:CVCL_1183	DU4475
cellosaurus:CVCL_1183	DU4475
cellosaurus:CVCL_1183	DU4475
cellosaurus:CVCL_1183	DU4475
cellosaurus:CVCL_DH86	E3GS2.4
cellosaurus:CVCL_2027	EB1
cellosaurus:CVCL_2027	EB1
cellosaurus:CVCL_2027	EB1
cellosaurus:CVCL_2027	EB1
cellosaurus:CVCL_1186	EB2
cellosaurus:CVCL_1186	EB2
cellosaurus:CVCL_1186	EB2
cellosaurus:CVCL_1185	EB3 [Human Burkitt lymphoma]
cellosaurus:CVCL_1185	EB3 [Human Burkitt lymphoma]
cellosaurus:CVCL_1187	EC-GI-10
cellosaurus:CVCL_1188	ECC10
cellosaurus:CVCL_1189	ECC12
cellosaurus:CVCL_1191	EFE-184
cellosaurus:CVCL_1191	EFE-184
cellosaurus:CVCL_1191	EFE-184
cellosaurus:CVCL_0253	EFM-19
cellosaurus:CVCL_0253	EFM-19
cellosaurus:CVCL_0253	EFM-19
cellosaurus:CVCL_0253	EFM-19
cellosaurus:CVCL_0253	EFM-19
cellosaurus:CVCL_0253	EFM-19
cellosaurus:CVCL_0253	EFM-19
cellosaurus:CVCL_1812	EFM-192A
cellosaurus:CVCL_1812	EFM-192A
cellosaurus:CVCL_1812	EFM-192A
cellosaurus:CVCL_1812	EFM-192A
cellosaurus:CVCL_1194	EHEB
cellosaurus:CVCL_2030	EJM
cellosaurus:CVCL_2030	EJM
cellosaurus:CVCL_1195	EKVX
cellosaurus:CVCL_1195	EKVX
cellosaurus:CVCL_1195	EKVX
cellosaurus:CVCL_1195	EKVX
cellosaurus:CVCL_1195	EKVX
cellosaurus:CVCL_1195	EKVX
cellosaurus:CVCL_1195	EKVX
cellosaurus:CVCL_1195	EKVX
cellosaurus:CVCL_1195	EKVX
cellosaurus:CVCL_M653	Elijah
cellosaurus:CVCL_1196	EM-2
cellosaurus:CVCL_1196	EM-2
cellosaurus:CVCL_1196	EM-2
cellosaurus:CVCL_2034	EN
cellosaurus:CVCL_0258	EoL-1
cellosaurus:CVCL_1197	EPLC-272H
cellosaurus:CVCL_1197	EPLC-272H
cellosaurus:CVCL_1197	EPLC-272H
cellosaurus:CVCL_5122	ES-1-OT
cellosaurus:CVCL_AX39	ES2
cellosaurus:CVCL_1205	ESS-1
cellosaurus:CVCL_1216	EW-3
cellosaurus:CVCL_H614	FE-PD
cellosaurus:CVCL_4W88	FM116
cellosaurus:CVCL_C576	FM2
cellosaurus:CVCL_9674	FM45
cellosaurus:CVCL_C587	FM48
cellosaurus:CVCL_C590	FM55M2
cellosaurus:CVCL_C593	FM56
cellosaurus:CVCL_C594	FM57
cellosaurus:CVCL_C595	FM58
cellosaurus:CVCL_C581	FM6
cellosaurus:CVCL_9676	FM62
cellosaurus:CVCL_C599	FM66
